tanggal,harga
22-Nov-12,9620
23-Nov-12,9603
24-Nov-12,9621
25-Nov-12,9568
26-Nov-12,9336
27-Nov-12,9448
28-Nov-12,9604
29-Nov-12,9517
30-Nov-12,9475
01-Dec-12,9480
02-Dec-12,9429
03-Dec-12,9327
04-Dec-12,9214
05-Dec-12,9048
06-Dec-12,9076
07-Dec-12,8993
08-Dec-12,8993
09-Dec-12,9009
10-Dec-12,8892
11-Dec-12,8854
12-Dec-12,8721
13-Dec-12,8675
14-Dec-12,8641
15-Dec-12,8566
16-Dec-12,8755
17-Dec-12,8964
18-Dec-12,9855
19-Dec-12,10478
20-Dec-12,11191
21-Dec-12,11129
22-Dec-12,11235
23-Dec-12,11483
24-Dec-12,11384
25-Dec-12,11670
26-Dec-12,11775
27-Dec-12,11721
28-Dec-12,11821
29-Dec-12,11961
30-Dec-12,12067
31-Dec-12,12150
01-Jan-13,12469
02-Jan-13,13384
03-Jan-13,14109
04-Jan-13,15161
05-Jan-13,15715
06-Jan-13,16069
07-Jan-13,18175
08-Jan-13,19241
09-Jan-13,20406
10-Jan-13,21554
11-Jan-13,21709
12-Jan-13,21887
13-Jan-13,21991
14-Jan-13,23010
15-Jan-13,24274
16-Jan-13,24383
17-Jan-13,24566
18-Jan-13,24496
19-Jan-13,24269
20-Jan-13,23854
21-Jan-13,22878
22-Jan-13,23386
23-Jan-13,23642
24-Jan-13,23585
25-Jan-13,23425
26-Jan-13,23505
27-Jan-13,23533
28-Jan-13,23430
29-Jan-13,23267
30-Jan-13,22898
31-Jan-13,22241
01-Feb-13,21722
02-Feb-13,21453
03-Feb-13,21448
04-Feb-13,21200
05-Feb-13,20953
06-Feb-13,20820
07-Feb-13,20236
08-Feb-13,19962
09-Feb-13,19803
10-Feb-13,19817
11-Feb-13,19075
12-Feb-13,18698
13-Feb-13,18548
14-Feb-13,18644
15-Feb-13,18495
16-Feb-13,18855
17-Feb-13,18993
18-Feb-13,20324
19-Feb-13,20505
20-Feb-13,20414
21-Feb-13,21210
22-Feb-13,21400
23-Feb-13,21606
24-Feb-13,21690
25-Feb-13,22305
